CDWR07_2_GEN,CDWR07_2_GEN,CDWR07_2_GEN-APND
HYTTHM_2_UNITS,HYATT-THERMALITO PUMP-GEN (AGGREGATE),HYTTHM_2_UNITS-APND
PINFLT_7_UNITS,PINE FLAT HYDRO AGGREGATE,PINFLT_7_UNITS-APND
SLUISP_2_UNITS,SAN LUIS (GIANELLI) PUMP-GEN (AGGREGATE),SLUISP_2_UNITS-APND
DVLCYN_1_UNITS,DEVIL CANYON HYDRO UNITS 1-4 AGGREGATE,DVLCYN_1_UNITS-APND
WARNE_2_UNIT,WARNE HYDRO AGGREGATE,WARNE_2_UNIT-APND
COLVIL_7_PL1X2,COLLIERVILLE HYDRO UNIT 1 & 2 AGGREGATE,COLVIL_7_PL1X2-APND
DUANE_1_PL1X3,DONALD VON RAESFELD POWER PROJECT,DUANE_1_PL1X3-APND
SPICER_1_UNITS,SPICER HYDRO UNITS 1-3 AGGREGATE,SPICER_1_UNITS-APND
TULLCK_7_UNITS,Tullock Hydro,TULLCK_7_UNITS-APND
AGRICO_6_PL3N5,Fresno Peaker,AGRICO_6_PL3N5-APND
AGRICO_7_UNIT,Fresno Cogen,AGRICO_7_UNIT-APND
BUCKCK_7_PL1X2,BUCKS CREEK AGGREGATE,BUCKCK_7_PL1X2-APND
CAMCHE_1_PL1X3,CAMANCHE UNITS  1 2 &  3 AGGREGATE,CAMCHE_1_PL1X3-APND
CARBOU_7_PL2X3,CARIBOU PH 1 UNIT 2 & 3 AGGREGATE,CARBOU_7_PL2X3-APND
CARBOU_7_PL4X5,CARIBOU PH 2 UNIT 4 & 5 AGGREGATE,CARBOU_7_PL4X5-APND
COLUSA_2_PL1X3,Colusa Generating Station,COLUSA_2_PL1X3-APND
CRESTA_7_PL1X2,CRESTA PH UNIT 1 & 2 AGGREGATE,CRESTA_7_PL1X2-APND
DELTA_2_PL1X4,DELTA ENERGY CENTER AGGREGATE,DELTA_2_PL1X4-APND
DRUM_7_PL1X2,Drum PH 1 Units 1 & 2 Aggregate,DRUM_7_PL1X2-APND
DRUM_7_PL3X4,Drum PH 1 Units 3 & 4 Aggregate,DRUM_7_PL3X4-APND
ELECTR_7_PL1X3,ELECTRA PH UNIT 1 & 2 AGGREGATE,ELECTR_7_PL1X3-APND
ELKHIL_2_PL1X3,ELK HILLS COMBINED CYCLE (AGGREGATE),ELKHIL_2_PL1X3-APND
GATWAY_2_PL1X3,GATEWAY GENERATING STATION,GATWAY_2_PL1X3-APND
GILROY_1_UNIT,GILROY COGEN AGGREGATE,GILROY_1_UNIT-APND
