resource_name,interval_start,lmp_prc
WHITEWTR_7_B1,1/1/17 8:00,$30.82 
WHITEWTR_7_B1,1/1/17 8:05,$42.06 
WHITEWTR_7_B1,1/1/17 8:10,$37.03 
WHITEWTR_7_B1,1/1/17 8:15,$31.68 
WHITEWTR_7_B1,1/1/17 8:20,$41.85 
WHITEWTR_7_B1,1/1/17 8:25,$37.58 
WHITEWTR_7_B1,1/1/17 8:30,$36.22 
WHITEWTR_7_B1,1/1/17 8:35,$41.65 
WHITEWTR_7_B1,1/1/17 8:40,$36.76 
WHITEWTR_7_B1,1/1/17 8:45,$37.88 
WHITEWTR_7_B1,1/1/17 8:50,$36.50 
WHITEWTR_7_B1,1/1/17 8:55,$35.99 
WHITEWTR_7_B1,1/1/17 9:00,$37.88 
WHITEWTR_7_B1,1/1/17 9:05,$38.60 
WHITEWTR_7_B1,1/1/17 9:10,$37.83 
WHITEWTR_7_B1,1/1/17 9:15,$36.54 
WHITEWTR_7_B1,1/1/17 9:20,$30.35 
WHITEWTR_7_B1,1/1/17 9:25,$30.51 
WHITEWTR_7_B1,1/1/17 9:30,$28.45 
WHITEWTR_7_B1,1/1/17 9:35,$26.94 
WHITEWTR_7_B1,1/1/17 9:40,$26.23 
WHITEWTR_7_B1,1/1/17 9:45,$28.93 
WHITEWTR_7_B1,1/1/17 9:50,$30.80 
WHITEWTR_7_B1,1/1/17 9:55,$29.20 
WHITEWTR_7_B1,1/1/17 10:00,$25.35 
WHITEWTR_7_B1,1/1/17 10:05,$28.45 
WHITEWTR_7_B1,1/1/17 10:10,$28.45 
WHITEWTR_7_B1,1/1/17 10:15,$28.78 
WHITEWTR_7_B1,1/1/17 10:20,$21.97 
WHITEWTR_7_B1,1/1/17 10:25,$23.76 
WHITEWTR_7_B1,1/1/17 10:30,$21.74 
WHITEWTR_7_B1,1/1/17 10:35,$8.13 
WHITEWTR_7_B1,1/1/17 10:40,$19.88 
WHITEWTR_7_B1,1/1/17 10:45,$21.38 
WHITEWTR_7_B1,1/1/17 10:50,$21.71 
WHITEWTR_7_B1,1/1/17 10:55,$26.17 
WHITEWTR_7_B1,1/1/17 11:00,$26.88 
WHITEWTR_7_B1,1/1/17 11:05,$24.89 
WHITEWTR_7_B1,1/1/17 11:10,$23.95 
WHITEWTR_7_B1,1/1/17 11:15,$21.89 
WHITEWTR_7_B1,1/1/17 11:20,$21.28 
WHITEWTR_7_B1,1/1/17 11:25,$21.28 
WHITEWTR_7_B1,1/1/17 11:30,$21.00 
WHITEWTR_7_B1,1/1/17 11:35,$20.90 
WHITEWTR_7_B1,1/1/17 11:40,$18.24 
WHITEWTR_7_B1,1/1/17 11:45,$0.01 
WHITEWTR_7_B1,1/1/17 11:50,$0.01 
WHITEWTR_7_B1,1/1/17 11:55,$0.01 
WHITEWTR_7_B1,1/1/17 12:00,$0.01 
WHITEWTR_7_B1,1/1/17 12:05,$0.01 
WHITEWTR_7_B1,1/1/17 12:10,$0.01 
WHITEWTR_7_B1,1/1/17 12:15,$0.00 
WHITEWTR_7_B1,1/1/17 12:20,$0.00 
WHITEWTR_7_B1,1/1/17 12:25,$0.00 
WHITEWTR_7_B1,1/1/17 12:30,$0.00 
WHITEWTR_7_B1,1/1/17 12:35,$0.00 
WHITEWTR_7_B1,1/1/17 12:40,$0.00 
WHITEWTR_7_B1,1/1/17 12:45,$0.01 
WHITEWTR_7_B1,1/1/17 12:50,$0.01 
WHITEWTR_7_B1,1/1/17 12:55,$0.01 
WHITEWTR_7_B1,1/1/17 13:00,$0.01 
WHITEWTR_7_B1,1/1/17 13:05,$0.01 
WHITEWTR_7_B1,1/1/17 13:10,$11.22 
WHITEWTR_7_B1,1/1/17 13:15,$20.73 
WHITEWTR_7_B1,1/1/17 13:20,$20.72 
WHITEWTR_7_B1,1/1/17 13:25,$22.24 
WHITEWTR_7_B1,1/1/17 13:30,$21.02 
WHITEWTR_7_B1,1/1/17 13:35,$0.01 
WHITEWTR_7_B1,1/1/17 13:40,$19.29 
WHITEWTR_7_B1,1/1/17 13:45,$18.58 
WHITEWTR_7_B1,1/1/17 13:50,$15.46 
WHITEWTR_7_B1,1/1/17 13:55,$17.15 
WHITEWTR_7_B1,1/1/17 14:00,$0.01 
WHITEWTR_7_B1,1/1/17 14:05,$0.00 
WHITEWTR_7_B1,1/1/17 14:10,($8.66)
WHITEWTR_7_B1,1/1/17 14:15,($8.66)
WHITEWTR_7_B1,1/1/17 14:20,$0.00 
WHITEWTR_7_B1,1/1/17 14:25,$0.01 
WHITEWTR_7_B1,1/1/17 14:30,$0.01 
WHITEWTR_7_B1,1/1/17 14:35,$0.01 
WHITEWTR_7_B1,1/1/17 14:40,$11.07 
WHITEWTR_7_B1,1/1/17 14:45,$25.06 
WHITEWTR_7_B1,1/1/17 14:50,$27.63 
WHITEWTR_7_B1,1/1/17 14:55,$26.46 
WHITEWTR_7_B1,1/1/17 15:00,$25.60 
WHITEWTR_7_B1,1/1/17 15:05,$25.60 
WHITEWTR_7_B1,1/1/17 15:10,$30.81 
WHITEWTR_7_B1,1/1/17 15:15,$29.81 
WHITEWTR_7_B1,1/1/17 15:20,$27.24 
WHITEWTR_7_B1,1/1/17 15:25,$22.34 
WHITEWTR_7_B1,1/1/17 15:30,$25.35 
WHITEWTR_7_B1,1/1/17 15:35,$31.45 
WHITEWTR_7_B1,1/1/17 15:40,$31.60 
WHITEWTR_7_B1,1/1/17 15:45,$29.73 
WHITEWTR_7_B1,1/1/17 15:50,$30.08 
WHITEWTR_7_B1,1/1/17 15:55,$29.81 
WHITEWTR_7_B1,1/1/17 16:00,$28.66 
WHITEWTR_7_B1,1/1/17 16:05,$29.56 
WHITEWTR_7_B1,1/1/17 16:10,$26.81 
WHITEWTR_7_B1,1/1/17 16:15,$26.81 
WHITEWTR_7_B1,1/1/17 16:20,$25.39 
WHITEWTR_7_B1,1/1/17 16:25,$21.74 
WHITEWTR_7_B1,1/1/17 16:30,$0.01 
WHITEWTR_7_B1,1/1/17 16:35,($8.66)
WHITEWTR_7_B1,1/1/17 16:40,($12.53)
WHITEWTR_7_B1,1/1/17 16:45,($12.53)
WHITEWTR_7_B1,1/1/17 16:50,($15.41)
WHITEWTR_7_B1,1/1/17 16:55,($15.41)
WHITEWTR_7_B1,1/1/17 17:00,($15.41)
WHITEWTR_7_B1,1/1/17 17:05,($12.53)
WHITEWTR_7_B1,1/1/17 17:10,($15.41)
WHITEWTR_7_B1,1/1/17 17:15,($15.41)
WHITEWTR_7_B1,1/1/17 17:20,($15.49)
WHITEWTR_7_B1,1/1/17 17:25,($15.41)
WHITEWTR_7_B1,1/1/17 17:30,($15.50)
WHITEWTR_7_B1,1/1/17 17:35,($15.50)
WHITEWTR_7_B1,1/1/17 17:40,($38.97)
WHITEWTR_7_B1,1/1/17 17:45,($61.36)
WHITEWTR_7_B1,1/1/17 17:50,($65.47)
WHITEWTR_7_B1,1/1/17 17:55,($80.90)
WHITEWTR_7_B1,1/1/17 18:00,($79.62)
WHITEWTR_7_B1,1/1/17 18:05,($124.07)
WHITEWTR_7_B1,1/1/17 18:10,($123.60)
WHITEWTR_7_B1,1/1/17 18:15,($83.94)
WHITEWTR_7_B1,1/1/17 18:20,($84.48)
WHITEWTR_7_B1,1/1/17 18:25,($75.18)
WHITEWTR_7_B1,1/1/17 18:30,($75.04)
WHITEWTR_7_B1,1/1/17 18:35,($75.48)
WHITEWTR_7_B1,1/1/17 18:40,($80.67)
WHITEWTR_7_B1,1/1/17 18:45,($70.46)
WHITEWTR_7_B1,1/1/17 18:50,($39.60)
WHITEWTR_7_B1,1/1/17 18:55,($39.60)
WHITEWTR_7_B1,1/1/17 19:00,($16.99)
WHITEWTR_7_B1,1/1/17 19:05,($17.06)
WHITEWTR_7_B1,1/1/17 19:10,($15.02)
WHITEWTR_7_B1,1/1/17 19:15,$16.98 
WHITEWTR_7_B1,1/1/17 19:20,$21.68 
WHITEWTR_7_B1,1/1/17 19:25,($0.31)
WHITEWTR_7_B1,1/1/17 19:30,$0.00 
WHITEWTR_7_B1,1/1/17 19:35,($12.53)
WHITEWTR_7_B1,1/1/17 19:40,($12.53)
WHITEWTR_7_B1,1/1/17 19:45,$0.01 
WHITEWTR_7_B1,1/1/17 19:50,$16.98 
WHITEWTR_7_B1,1/1/17 19:55,$4.33 
WHITEWTR_7_B1,1/1/17 20:00,($6.34)
WHITEWTR_7_B1,1/1/17 20:05,($6.34)
WHITEWTR_7_B1,1/1/17 20:10,($7.04)
WHITEWTR_7_B1,1/1/17 20:15,($6.96)
WHITEWTR_7_B1,1/1/17 20:20,($7.77)
WHITEWTR_7_B1,1/1/17 20:25,($8.27)
WHITEWTR_7_B1,1/1/17 20:30,($8.24)
WHITEWTR_7_B1,1/1/17 20:35,($9.76)
WHITEWTR_7_B1,1/1/17 20:40,($9.76)
WHITEWTR_7_B1,1/1/17 20:45,($16.27)
WHITEWTR_7_B1,1/1/17 20:50,($16.27)
WHITEWTR_7_B1,1/1/17 20:55,($13.14)
WHITEWTR_7_B1,1/1/17 21:00,($0.20)
WHITEWTR_7_B1,1/1/17 21:05,($7.60)
WHITEWTR_7_B1,1/1/17 21:10,($7.38)
WHITEWTR_7_B1,1/1/17 21:15,($0.27)
WHITEWTR_7_B1,1/1/17 21:20,($0.23)
WHITEWTR_7_B1,1/1/17 21:25,$20.93 
WHITEWTR_7_B1,1/1/17 21:30,$6.38 
WHITEWTR_7_B1,1/1/17 21:35,($0.18)
WHITEWTR_7_B1,1/1/17 21:40,($6.75)
WHITEWTR_7_B1,1/1/17 21:45,($0.09)
WHITEWTR_7_B1,1/1/17 21:50,($11.48)
WHITEWTR_7_B1,1/1/17 21:55,($11.48)
WHITEWTR_7_B1,1/1/17 22:00,($12.69)
WHITEWTR_7_B1,1/1/17 22:05,($12.69)
WHITEWTR_7_B1,1/1/17 22:10,($12.69)
WHITEWTR_7_B1,1/1/17 22:15,($12.69)
WHITEWTR_7_B1,1/1/17 22:20,($11.47)
WHITEWTR_7_B1,1/1/17 22:25,($11.47)
WHITEWTR_7_B1,1/1/17 22:30,($9.11)
WHITEWTR_7_B1,1/1/17 22:35,$1.03 
WHITEWTR_7_B1,1/1/17 22:40,$21.25 
WHITEWTR_7_B1,1/1/17 22:45,$24.43 
WHITEWTR_7_B1,1/1/17 22:50,$27.62 
WHITEWTR_7_B1,1/1/17 22:55,$27.62 
WHITEWTR_7_B1,1/1/17 23:00,$19.55 
WHITEWTR_7_B1,1/1/17 23:05,$21.68 
WHITEWTR_7_B1,1/1/17 23:10,$21.74 
WHITEWTR_7_B1,1/1/17 23:15,$22.81 
WHITEWTR_7_B1,1/1/17 23:20,$27.17 
WHITEWTR_7_B1,1/1/17 23:25,$31.48 
WHITEWTR_7_B1,1/1/17 23:30,$32.41 
WHITEWTR_7_B1,1/1/17 23:35,$33.79 
WHITEWTR_7_B1,1/1/17 23:40,$35.67 
WHITEWTR_7_B1,1/1/17 23:45,$69.52 
WHITEWTR_7_B1,1/1/17 23:50,$69.52 
WHITEWTR_7_B1,1/1/17 23:55,$61.56 
WHITEWTR_7_B1,1/2/17 0:00,$30.26 
WHITEWTR_7_B1,1/2/17 0:05,$29.44 
WHITEWTR_7_B1,1/2/17 0:10,$29.30 
WHITEWTR_7_B1,1/2/17 0:15,$29.69 
WHITEWTR_7_B1,1/2/17 0:20,$29.93 
WHITEWTR_7_B1,1/2/17 0:25,$29.99 
WHITEWTR_7_B1,1/2/17 0:30,$30.34 
WHITEWTR_7_B1,1/2/17 0:35,$30.37 
WHITEWTR_7_B1,1/2/17 0:40,$33.84 
WHITEWTR_7_B1,1/2/17 0:45,$33.06 
WHITEWTR_7_B1,1/2/17 0:50,$33.85 
WHITEWTR_7_B1,1/2/17 0:55,$34.22 
WHITEWTR_7_B1,1/2/17 1:00,$29.75 
WHITEWTR_7_B1,1/2/17 1:05,$29.65 
WHITEWTR_7_B1,1/2/17 1:10,$28.12 
WHITEWTR_7_B1,1/2/17 1:15,$30.30 
WHITEWTR_7_B1,1/2/17 1:20,$33.17 
WHITEWTR_7_B1,1/2/17 1:25,$34.34 
WHITEWTR_7_B1,1/2/17 1:30,$37.69 
WHITEWTR_7_B1,1/2/17 1:35,$46.03 
WHITEWTR_7_B1,1/2/17 1:40,$47.48 
WHITEWTR_7_B1,1/2/17 1:45,$46.86 
WHITEWTR_7_B1,1/2/17 1:50,$46.86 
WHITEWTR_7_B1,1/2/17 1:55,$46.01 
WHITEWTR_7_B1,1/2/17 2:00,$41.86 
WHITEWTR_7_B1,1/2/17 2:05,$36.81 
WHITEWTR_7_B1,1/2/17 2:10,$37.67 
WHITEWTR_7_B1,1/2/17 2:15,$36.02 
WHITEWTR_7_B1,1/2/17 2:20,$36.92 
WHITEWTR_7_B1,1/2/17 2:25,$34.90 
WHITEWTR_7_B1,1/2/17 2:30,$34.43 
WHITEWTR_7_B1,1/2/17 2:35,$33.86 
WHITEWTR_7_B1,1/2/17 2:40,$33.86 
WHITEWTR_7_B1,1/2/17 2:45,$33.85 
WHITEWTR_7_B1,1/2/17 2:50,$33.87 
WHITEWTR_7_B1,1/2/17 2:55,$33.87 
WHITEWTR_7_B1,1/2/17 3:00,$35.44 
WHITEWTR_7_B1,1/2/17 3:05,$35.44 
WHITEWTR_7_B1,1/2/17 3:10,$34.45 
WHITEWTR_7_B1,1/2/17 3:15,$35.26 
WHITEWTR_7_B1,1/2/17 3:20,$35.47 
WHITEWTR_7_B1,1/2/17 3:25,$35.03 
WHITEWTR_7_B1,1/2/17 3:30,$34.79 
WHITEWTR_7_B1,1/2/17 3:35,$34.05 
WHITEWTR_7_B1,1/2/17 3:40,$34.47 
WHITEWTR_7_B1,1/2/17 3:45,$33.84 
WHITEWTR_7_B1,1/2/17 3:50,$34.57 
WHITEWTR_7_B1,1/2/17 3:55,$34.57 
WHITEWTR_7_B1,1/2/17 4:00,$36.23 
WHITEWTR_7_B1,1/2/17 4:05,$36.63 
WHITEWTR_7_B1,1/2/17 4:10,$35.18 
WHITEWTR_7_B1,1/2/17 4:15,$34.46 
WHITEWTR_7_B1,1/2/17 4:20,$31.17 
WHITEWTR_7_B1,1/2/17 4:25,$31.10 
WHITEWTR_7_B1,1/2/17 4:30,$30.94 
WHITEWTR_7_B1,1/2/17 4:35,$30.56 
WHITEWTR_7_B1,1/2/17 4:40,$30.18 
WHITEWTR_7_B1,1/2/17 4:45,$30.06 
WHITEWTR_7_B1,1/2/17 4:50,$30.06 
WHITEWTR_7_B1,1/2/17 4:55,$30.19 
WHITEWTR_7_B1,1/2/17 5:00,$30.76 
WHITEWTR_7_B1,1/2/17 5:05,$31.08 
WHITEWTR_7_B1,1/2/17 5:10,$29.94 
WHITEWTR_7_B1,1/2/17 5:15,$29.63 
WHITEWTR_7_B1,1/2/17 5:20,$29.63 
WHITEWTR_7_B1,1/2/17 5:25,$29.70 
WHITEWTR_7_B1,1/2/17 5:30,$28.70 
WHITEWTR_7_B1,1/2/17 5:35,$27.44 
WHITEWTR_7_B1,1/2/17 5:40,$27.15 
WHITEWTR_7_B1,1/2/17 5:45,$27.15 
WHITEWTR_7_B1,1/2/17 5:50,$25.59 
WHITEWTR_7_B1,1/2/17 5:55,$23.96 
WHITEWTR_7_B1,1/2/17 6:00,$26.18 
WHITEWTR_7_B1,1/2/17 6:05,$25.88 
WHITEWTR_7_B1,1/2/17 6:10,$25.85 
WHITEWTR_7_B1,1/2/17 6:15,$26.34 
WHITEWTR_7_B1,1/2/17 6:20,$25.86 
WHITEWTR_7_B1,1/2/17 6:25,$26.64 
WHITEWTR_7_B1,1/2/17 6:30,$26.79 
WHITEWTR_7_B1,1/2/17 6:35,$28.13 
WHITEWTR_7_B1,1/2/17 6:40,$27.77 
WHITEWTR_7_B1,1/2/17 6:45,$27.92 
