resource_name,lat,long,stress
AGUAMNSA_7_B1,34.0426047,-117.3627072,78.9242854197
ALAMITOS_2_N001,33.771584,-118.100596,3674.45578876
ALAMITOS_2_N040,33.77,-118.1,471.24716919
ALAMT1G_7_B1,33.7715839999528,-118.100487751377,3584.91456034
ALAMT1G_7_N002,33.771494017174,-118.100487751491,3672.17263259
ALAMT2G_7_B1,33.7714303897841,-118.100564294769,3503.33433141
ALAMT2G_7_N002,33.7714151734996,-118.100670984251,3738.18169192
ALAMT3G_7_B1,33.7659779865885,-118.103663,1840.07748907
ALAMT3G_7_N002,33.7714463391723,-118.100772532623,3500.75740926
ALAMT4G_7_B1,33.765897006693,-118.103606759306,1743.8278678
ALAMT4G_7_N002,33.7715119653101,-118.10084659342,3783.05571584
ALAMT5G_7_B1,33.765897006693,-118.103719240694,1616.41105378
ALAMT5G_7_N002,33.7715970068339,-118.100881971205,3785.6480171
ALAMT6G_7_B1,33.7716868552252,-118.100876057291,3407.32359742
ALAMT6G_7_N002,33.7717691626227,-118.100832310727,2587.82081335
ALPINE_6_N001,32.8277834978275,-116.789872539258,1125.67706007
ALPINE_6_N005,32.8277834978275,-116.789979111436,1123.5446693
ALTA1G_7_B1,34.860206213782,-116.853187,1372.93093075
ALTA2G_7_B1,34.8598483,-116.8632389,132.553326853
ALTA30ST_7_B1,34.87,-116.84,67.7418055716
ALTA31GT_7_B1,34.87,-116.88,55.422499621
ALTA40ST_7_B1,34.87,-116.86,78.1099230803
ALTA41GT_7_B1,34.87,-116.85,81.9676328097
ALTWIND_1_N001,33.9,-116.58,86.0928612152
ANAHEIMG_7_B1,33.8531627,-117.857995,81.7321118926
ARCO1G_7_B1,33.821111,-118.241667,103.125485716
ARTESN_6_N001,33.021163152552,-117.134204992561,132.484547548
ASHLAN_2_N001,33.1365163430764,-117.070291975275,3518.54901134
ASHLAN_2_N007,33.1365163430307,-117.070185032776,2619.62291599
ASH_6_N001,33.1364267925826,-117.070291975275,2497.53529155
ASH_6_N005,33.1365163430307,-117.070398917774,2468.37063208
ASH_6_N101,33.1366058935703,-117.070291975275,2676.87121651
AVOCADO_6_N001,33.3846670931138,-117.236923575749,831.365434729
AVOCADO_6_N002,33.3846670931138,-117.237030961155,836.374449907
AVSOLAR_7_N008,34.789501,-118.431381,36.727137654
BAILYJ1_1_N010,34.77604,-118.77504,36.5718193886
BANNING_1_N001,33.922289,-116.87283,55.6513173822
BARPKGEN_7_B1,33.807265,-117.9844496,222.699014024
BARRETT_6_N001,32.6671938775889,-116.700207795997,70.525293715
BARRE_2_N043,33.8091830167094,-117.983329662936,1097.51172432
BARRE_6_N001,33.8090029831959,-117.983329663164,1312.22180256
BARRE_6_N002,33.8090029831959,-117.983546336836,1136.58516139
