type,udc_id,gen_id,name,resource_name,bus_id
GEN,PGAE,7STDRD_1_SOLAR1,Shafter Solar,0096WD_7_N001,35009_0096_WD _21.6_GUWD
GEN,PGAE,LAMONT_1_SOLAR1,Regulus Solar,2C559EQ2_7_N001,35017_2C559EQ2_34.5_GUF
GEN,PGAE,SLST13_2_SOLAR1,Quinto Solar PV Project,2C577C1_7_N001,34323_2C577C1 _34.5_GU1
GEN,SCE,PBLOSM_2_SOLAR,PearBlossom,2PBLSM34_7_N001,25662_2PBLSM34_34.5_GUS1
GEN,PGAE,CUMBIA_1_SOLAR,Columbia Solar Energy II,4C687C2_7_N001,39508_4C687C2 _13.8_GUF
GEN,PGAE,LAMONT_1_SOLAR5,Redcrest Solar Farm,4C744C12_7_N001,39568_4C744C12_34.5_GUF1
GEN,PGAE,LAMONT_1_SOLAR4,Hayworth Solar Farm,4C744C22_7_N001,39571_4C744C22_34.5_GUF2
GEN,PGAE,LAMONT_1_SOLAR3,Woodmere Solar Farm,4C744C32_7_N001,39574_4C744C32_34.5_GUF3
GEN,PGAE,LAMONT_1_SOLAR2,Redwood Solar Farm 4,4C744C42_7_N001,39577_4C744C42_34.5_GUR4
GEN,SCE,ACACIA_6_SOLAR,West Antelope Solar,ACACIA_7_N001,29876_ACACIA  _34.5_GU1
GEN,PGAE,LFC 51_2_UNIT 1,PATTERSON PASS WIND FARM LLC,ADCC_2_N001,30655_ADCC    _230_GU1
GEN,PGAE,ADERA_1_SOLAR1,Adera Solar,ADERAG1_7_N001,34117_ADERA G1_34.5_GU1
GEN,PGAE,AGRICO_6_PL3N5,Fresno Peaker,AGRICO_6_PL3N5-APND,N/A
GEN,PGAE,AGRICO_7_UNIT,Fresno Cogen,AGRICO_7_UNIT-APND,N/A
GEN,CLTN,COLTON_6_AGUAM1,AGUA MANSA UNIT 1 (CITY OF COLTON),AGUAMNSA_7_B1,28008_AGUAMNSA_13.8_GU1
GEN,SDGE,AGUCAL_5_SOLAR1,Agua Caliente Solar,AGUCALG1_7_B1,22305_AGUCALG1_34.5_GU1
GEN,CWRS,ALAMO_6_UNIT,ALAMO POWER PLANT ,ALAMOSC_7_N001,25653_ALAMO SC_13.8_GU1
